Month,ID,Annual_Income,Monthly_Inhand_Salary,Interest_Rate,Delay_from_due_date,Num_of_Delayed_Payment,Outstanding_Debt,Credit_Utilization_Ratio,Amount_invested_monthly,Monthly_Balance
May,54,123732.32,10416.02667,11,20,14,1154.46,36.64159184,129.1812728,1162.421394
June,54,123732.32,10416.02667,11,22,15,1154.46,31.24192774,96.70297297,1184.899694
January,55,17251.38,1654.615,7,22,14,2431.64,29.41972183,0,273.3735401
February,55,17251.38,1654.615,7,17,14,2431.64,37.22594439,26.59867398,321.5116608
March,55,17251.38,1654.615,7,22,16,2431.64,27.59559906,132.443901,245.6664338
April,55,17251.38,1654.615,7,22,15,2431.64,28.12269302,169.3026601,228.8076747
May,55,17251.38,1654.615,7,49,20,2431.64,33.91486539,71.9105158,296.199819
June,55,17251.38,1654.615,7,49,20,2431.64,32.70581751,54.07668314,334.0336517
January,56,36822.29,3132.524167,6,52,22,125.25,26.61287178,121.4083759,386.0433278
February,56,36822.29,3132.524167,6,49,20,125.25,23.33674451,259.7908045,227.6608993
March,56,36822.29,3132.524167,6,49,20,125.25,29.24844181,132.9440996,354.5076041
April,56,36822.29,3132.524167,6,45,21,125.25,35.08033049,73.93253934,383.5191644
May,56,36822.29,3132.524167,6,49,20,125.25,28.3106512,114.4824364,352.9692673
June,56,36822.29,3132.524167,6,49,20,125.25,39.64980173,38.11405466,429.3376491
January,57,80108.31,6866.6925,17,6,10,997.28,38.73267646,107.0656525,829.6035975
February,57,80108.31,6866.6925,17,6,10,997.28,26.17314465,52.18981024,874.4794398
March,57,80108.31,6866.6925,17,6,10,997.28,26.72857312,549.0992911,407.5699589
April,57,80108.31,6866.6925,17,6,12,997.28,39.91463675,123.1885231,803.4807269
May,57,80108.31,6866.6925,17,6,7,997.28,32.94802192,341.3768772,625.2923728
June,57,80108.31,6866.6925,17,6,10,997.28,32.40424137,228.0964591,708.5727909
January,58,69977.6,5978.466667,20,1,7,3042.36,37.2171993,405.1493636,
February,58,69977.6,5978.466667,20,6,10,3042.36,30.46783632,470.8372043,
March,58,69977.6,5978.466667,20,13,8,3042.36,35.60710564,177.9055932,214.1906424
April,58,69977.6,5978.466667,20,13,4,3042.36,23.84176883,250.7661703,141.3300654
May,58,69977.6,5978.466667,20,13,3,3042.36,26.20467951,122.7310698,229.3651659
June,58,69977.6,5978.466667,20,13,6,3042.36,28.13069484,332.2100424,59.88619327
January,59,78988.48,6449.373333,29,10,3,1746.9,34.70500518,88.07126674,515.0833063
February,59,78988.48,6449.373333,29,13,6,1746.9,35.1549357,419.575712,193.578861
March,59,78988.48,6449.373333,29,18,6,1746.9,28.38967163,295.6050491,327.5495239
April,59,78988.48,6449.373333,29,16,8,1746.9,39.64707758,178.1531521,455.0014209
May,59,78988.48,6449.373333,29,12,7,1746.9,37.47919344,0,75.19634822
June,59,78988.48,6449.373333,29,12,0,1746.9,32.4955483,399.2485836,233.9059894
January,60,41746.76,3651.896667,31,12,7,1936.79,37.70526076,425.1038222,127.8024469
February,60,41746.76,3651.896667,31,12,7,1936.79,30.0899524,31.56000966,471.3462595
March,60,41746.76,3651.896667,31,14,0,1936.79,24.03858303,150.747271,362.1589981
April,60,41746.76,3651.896667,31,12,7,1936.79,37.58178658,134.42247,398.4837991
May,60,41746.76,3651.896667,31,12,4,1936.79,30.25268542,42.79187097,460.1143982
June,60,41746.76,3651.896667,31,12,7,1936.79,32.15961047,199.1276057,323.7786634
January,61,19981.6,1459.133333,20,30,20,4834.59,38.16554553,69.78240333,287.7126585
February,61,19981.6,1459.133333,20,30,18,4834.59,29.04463822,35.92166782,291.573394
March,61,19981.6,1459.133333,20,30,19,4834.59,26.7842801,0,236.9991171
April,61,19981.6,1459.133333,20,30,18,4834.59,35.05013881,69.46880384,278.0262579
May,61,19981.6,1459.133333,20,27,18,4834.59,34.31347599,10000,239.4320793
June,61,19981.6,1459.133333,20,31,21,4834.59,38.9777452,42.4353362,285.0597256
January,62,73737.36,5936.78,18,30,15,1219.39,34.50073214,77.2660256,541.5985112
February,62,73737.36,5936.78,18,30,19,1219.39,35.72613069,113.162405,515.7021318
March,62,73737.36,5936.78,18,59,0,1219.39,37.97265478,321.1426678,337.721869
April,62,73737.36,5936.78,18,55,24,1219.39,34.81301084,153.8744615,474.9900753
May,62,73737.36,5936.78,18,56,24,1219.39,33.0159281,424.0584112,244.8061256
June,62,73737.36,5936.78,18,59,24,1219.39,26.38962385,188.5743324,440.2902044
January,63,88362.46,7255.538333,8,59,24,325.93,26.64350552,185.3272952,569.0421478
February,63,88362.46,7255.538333,8,55,24,325.93,36.5905132,472.7754275,321.5940155
March,63,88362.46,7255.538333,8,59,24,325.93,26.86579943,187.5698797,586.7995633
April,63,88362.46,7255.538333,8,61,26,325.93,31.5286769,283.3812328,480.9882102
May,63,88362.46,7255.538333,8,2,0,325.93,30.30042098,0,40.66430409
June,63,88362.46,7255.538333,8,6,6,325.93,38.41963348,214.6101098,579.7593332
January,64,118248.6,10115.05,4,3,0,191.09,29.14953015,227.6187415,1023.886258
February,64,118248.6,10115.05,4,2,0,191.09,34.34487102,338.7642171,942.7407829
March,64,118248.6,10115.05,4,2,5,191.09,32.68206167,545.8997341,755.6052659
April,64,118248.6,10115.05,4,6,4,191.09,44.24642053,10000,1142.147936
May,64,118248.6,10115.05,4,2,5,191.09,29.32435284,670.5779061,600.9270939
June,64,118248.6,10115.05,4,2,8,191.09,43.96183939,324.6255705,936.8794295
January,65,60162.1,5197.508333,5,20,19,1037.45,36.35924552,80.01264638,469.5244602
February,65,60162.1,5197.508333,5,20,16,1037.45,33.18394227,153.4475402,396.0895664
March,65,60162.1,5197.508333,5,20,19,1037.45,30.91438852,184.5531485,364.9839581
April,65,60162.1,5197.508333,5,20,16,1037.45,27.6412103,356.3858247,213.1512819
May,65,60162.1,5197.508333,5,20,17,1037.45,32.16686073,96.8446731,452.6924335
June,65,60162.1,5197.508333,5,20,19,1037.45,28.73291735,450.5601781,118.9769286
January,66,75273.24,6552.77,32,20,19,2497.34,33.59482507,124.6322882,548.0256556
February,66,75273.24,6552.77,32,20,16,2497.34,24.82967191,482.0882842,220.5696597
March,66,75273.24,6552.77,32,18,10,2497.34,39.15098231,162.1888645,510.4690793
April,66,75273.24,6552.77,32,23,10,2497.34,38.05213442,170.3151592,512.3427847
May,66,75273.24,6424.022011,32,23,10,2497.34,35.27464015,141.1879102,541.4700337
June,66,75273.24,6424.022011,32,28,0,2497.34,37.90870332,76.68731089,595.970633
January,67,54820.89,4295.4075,28,22,13,4795.13,35.80248914,479.5857747,70.47299093
February,67,54820.89,4295.4075,28,23,0,4795.13,32.59131378,229.8721223,320.1866434
March,67,54820.89,4295.4075,28,23,10,4795.13,25.92375905,92.22239678,417.8363689
April,67,54820.89,4295.4075,28,23,0,4795.13,34.79256617,87.26667315,412.7920925
May,67,54820.89,4295.4075,28,27,11,4795.13,28.62435875,359.5541628,190.5046029
June,67,54820.89,4295.4075,28,27,11,4795.13,35.95384759,0,260.3700816
January,68,58674.66,4824.555,15,27,11,2425.38,37.340892,121.3798305,484.9722526
February,68,58674.66,4824.555,15,27,11,2425.38,25.16742497,262.7332958,393.6187872
March,68,58674.66,4824.555,15,27,11,2425.38,36.49072833,182.5464906,463.8055925
April,68,58674.66,4824.555,15,27,14,2425.38,24.82077382,69.22823275,537.1238503
May,68,58674.66,4824.555,15,27,10,2425.38,34.14221724,113.3959015,492.9561816
June,68,58674.66,4824.555,15,27,11,2425.38,34.99081327,628.7091521,27.64293096
January,69,30390.44,2721.536667,5,57,21,580.31,26.97596095,10000,407.2936282
February,69,30390.44,2721.536667,5,59,3104,580.31,33.55567404,149.6134397,327.6921888
March,69,30390.44,2721.536667,5,57,19,580.31,35.832413,10000,327.4436392
April,69,30390.44,2721.536667,5,52,0,580.31,34.53357345,60.91459665,396.3910318
May,69,30390.44,2721.536667,5,54,19,580.31,38.00156519,169.8763743,307.4292542
June,69,30390.44,2721.536667,5,57,18,580.31,31.07504071,225.9197881,271.3858404
January,70,45207.54,3507.295,24,57,19,2497.48,26.63171974,39.83022939,401.9859972
February,70,45207.54,3507.295,24,57,22,2497.48,33.88856426,375.7330662,116.0831604
March,70,45207.54,3507.295,24,62,17,2497.48,24.30177052,10000,407.1341931
April,70,45207.54,3507.295,24,62,18,2497.48,29.57534481,131.096168,320.7200586
May,70,45207.54,3507.295,24,65,0,2497.48,28.94303915,119.0870984,362.7291282
June,70,45207.54,3507.295,24,62,21,2497.48,22.50520105,55.56367935,396.2525472
January,71,144546.72,11809.56,7,62,21,1045.11,40.84068721,573.4115905,730.5558529
February,71,144546.72,11809.56,7,62,18,1045.11,36.33873578,0,1026.919211
March,71,144546.72,11809.56,7,64,0,1045.11,43.6110939,103.9012093,1180.066234
April,71,144546.72,11809.56,7,62,18,1045.11,31.33767968,205.4748681,1078.492575
May,71,144546.72,11809.56,7,15,8,1045.11,39.20382495,10000,14.11872663
June,71,144546.72,10653.04311,7,15,8,1045.11,37.16404251,415.1834125,878.7840309
January,72,30346.35,2651.8625,14,15,8,523.56,28.21235656,145.1083749,313.3565949
February,72,30346.35,2651.8625,14,15,8,523.56,30.28018466,332.4861616,125.9788082
March,72,30346.35,2651.8625,14,15,0,523.56,38.94962888,106.2992268,342.165743
April,72,30346.35,2651.8625,14,15,8,523.56,30.50811574,98.62135851,319.8436113
May,72,30346.35,2651.8625,14,18,8,523.56,32.90975438,106.448575,322.0163948
June,72,30346.35,2651.8625,14,15,8,523.56,28.78678915,151.6096001,306.8553697
January,73,18681.465,1584.78875,9,8,13,327.88,27.53134292,52.09642061,351.5610294
February,73,18681.465,1584.78875,9,8,15,327.88,38.90124971,140.6547558,283.0026942
March,73,18681.465,1584.78875,9,5,12,327.88,27.37775919,55.33162201,338.325828
April,73,18681.465,1584.78875,9,10,15,327.88,24.18879867,90.57533568,333.0821143
May,73,18681.465,1584.78875,9,8,15,327.88,31.86689252,77.79346468,345.8639853
June,73,18681.465,1584.78875,9,5,15,327.88,30.12793418,131.1074314,272.5500187
January,74,9841.34,690.1116667,31,8,15,4984.82,27.3346898,0,263.003361
February,74,9841.34,690.1116667,31,3,15,4984.82,33.4598029,55.92433094,256.4117078
March,74,9841.34,690.1116667,31,14,19,4984.82,35.2517545,0,259.4705364
April,74,9841.34,690.1116667,31,14,19,4984.82,38.7684909,22.70173912,279.6342996
May,74,9841.34,690.1116667,31,14,17,4984.82,28.49691824,37.94400952,254.3920292
June,74,9841.34,690.1116667,31,14,19,4984.82,34.05642405,74.724782,247.6112567
January,75,72330.98,6300.581667,11,14,19,596.78,31.87384175,390.5462005,488.132172
February,75,72330.98,6300.581667,11,16,18,596.78,32.36779297,171.7435332,676.9348393
March,75,72330.98,6300.581667,11,14,20,596.78,27.24102191,110.0671087,728.6112638
April,75,72330.98,6300.581667,11,15,19,596.78,30.15846394,701.6599477,187.0184248
May,75,72330.98,6300.581667,11,25,19,596.78,39.60218493,339.2289211,519.4494514
June,75,72330.98,6300.581667,11,28,19,596.78,33.41197558,48.32875329,790.3496192
January,76,43241.49,3580.4575,30,25,16,2174.16,39.78232874,410.1902491,75.61653778
February,76,43241.49,3580.4575,30,20,21,2174.16,32.62468106,72.47252535,383.3342616
March,76,22335783,3580.4575,30,25,19,2174.16,37.35140673,230.3893891,255.4173978
April,76,43241.49,3580.4575,30,25,0,2174.16,24.40758995,179.3559234,286.4508636
May,76,43241.49,3580.4575,30,25,19,2174.16,31.24773473,63.59658329,372.2102036
June,76,43241.49,3580.4575,30,25,19,2174.16,32.18200633,134.1245993,351.6821877
January,77,34106.78,2767.231667,17,49,18,996.54,31.06392082,115.1517373,451.5714293
February,77,34106.78,2767.231667,17,49,18,996.54,38.62751709,24.07190317,492.6512635
March,77,34106.78,2767.231667,17,49,18,996.54,23.33248162,135.8018888,410.9212778
April,77,34106.78,2767.231667,17,49,18,996.54,40.79135176,216.3654359,330.3577308
May,77,34106.78,2767.231667,17,49,18,996.54,25.34390218,338.0036515,228.7195152
June,77,34106.78,2767.231667,17,54,20,996.54,39.49437697,118.6743753,448.0487914
January,78,129067.59,10795.6325,1,49,19,137.15,24.49869173,215.2174879,715.0400896
February,78,129067.59,10795.6325,1,49,18,137.15,30.7290606,511.2114299,459.0461476
March,78,129067.59,10795.6325,1,27,17,137.15,33.01978996,126.2690074,803.9885701
April,78,129067.59,10795.6325,1,27,17,137.15,33.1858694,10000,404.8901992
May,78,129067.59,10795.6325,1,27,17,137.15,32.67772557,112.014526,818.2430515
June,78,129067.59,10795.6325,1,27,17,137.15,28.43760665,264.7400106,665.517567
January,79,17001.34,1214.778333,5,27,17,1093.87,31.55554039,97.55551351,293.3867642
February,79,17001.34,1214.778333,5,27,15,1093.87,23.06986827,10000,333.598142
March,79,17001.34,1214.778333,5,22,17,1093.87,25.89483416,120.9712196,269.9710581
April,79,17001.34,1214.778333,5,27,17,1093.87,28.63344077,51.9051847,349.037093
May,79,17001.34,1214.778333,5,62,21,1093.87,25.68102673,0,243.5030775
June,79,17001.34,1214.778333,5,62,22,1093.87,36.06466979,51.24574815,349.6965296
January,80,44719.17,3969.5975,29,62,20,3818.57,30.98237348,130.2512251,268.1086391
February,80,44719.17,3969.5975,29,62,21,3818.57,30.86937294,167.656053,240.7038111
March,80,44719.17,3969.5975,29,62,18,3818.57,27.97975079,0,289.8878581
April,80,44719.17,3969.5975,29,67,21,3818.57,30.73768432,316.1728449,102.1870192
May,80,44719.17,3969.5975,29,59,23,3818.57,27.73718317,312.0946329,106.2652312
June,80,44719.17,3969.5975,29,62,21,3818.57,35.53327204,116.463927,281.8959372
January,81,17787.34,1242.278333,16,54,0,730.9,26.99358623,42.29858803,321.8656114
February,81,17787.34,1242.278333,16,54,21,730.9,36.33219149,54.89407316,329.2701263
March,81,17787.34,1242.278333,16,54,21,730.9,26.31431009,98.42059162,295.7436078
April,81,17787.34,1242.278333,16,54,21,730.9,34.9030915,28.51604362,325.6481558
May,81,17787.34,1242.278333,16,54,21,730.9,32.53512768,157.5524722,236.6117273
June,81,17787.34,1242.278333,16,54,19,730.9,33.68265491,119.1483872,265.0158122
January,82,103353.06,8527.755,6,54,23,1374.56,32.6855216,0,857.8262026
February,82,103353.06,8527.755,6,54,21,1374.56,40.54255171,326.4827489,742.2910654
March,82,103353.06,8527.755,6,20,0,1374.56,33.9918544,173.1808384,855.592976
April,82,103353.06,8527.755,6,20,20,1374.56,23.17084458,1043.873612,34.90020276
May,82,103353.06,8527.755,6,20,17,1374.56,38.76615976,165.4483707,863.3254437
June,82,103353.06,8527.755,6,20,17,1374.56,28.65012699,124.2894824,904.4843319
January,83,31021.24,2756.103333,11,15,20,852.81,31.19439865,68.51358027,366.3375746
February,83,31021.24,2756.103333,11,20,20,852.81,33.89457499,58.53848336,376.3126715
March,83,31021.24,2756.103333,11,20,20,852.81,32.86658163,136.9906689,317.860486
April,83,31021.24,2756.103333,11,20,17,852.81,29.50861953,10000,364.7327151
May,83,31021.24,2756.103333,11,17,5,852.81,34.13944939,153.4035982,291.4475567
June,83,31021.24,2756.103333,11,15,10,852.81,37.17152644,56.97757259,367.8735823
January,84,134978.24,11059.18667,15,17,8,668.14,36.59328467,834.1444379,406.6624054
February,84,134978.24,11059.18667,15,15,8,668.14,46.19423785,129.5214491,1081.285394
March,84,134978.24,10541.52075,15,15,8,668.14,24.85673514,0,550.8319048
April,84,134978.24,10541.52075,15,15,6,668.14,31.93375623,0,1103.544143
May,84,134978.24,10541.52075,15,15,0,668.14,41.61797405,148.8875069,1061.919336
June,84,134978.24,10541.52075,15,15,7,668.14,36.16238357,663.6269365,577.1799068
January,85,39800.12,3047.676667,12,13,10,660.69,24.79435667,404.2182245,132.0617849
February,85,39800.12,3047.676667,12,13,10,660.69,26.01921032,169.8630826,356.4169267
March,85,39800.12,3047.676667,12,13,7,660.69,29.72470803,410.2436031,126.0364062
April,85,39800.12,3047.676667,12,13,7,660.69,41.20335336,33.79278212,462.4872272
May,85,39800.12,3047.676667,12,13,10,660.69,32.66871615,42.10063083,444.1793785
June,85,39800.12,3047.676667,12,13,10,660.69,26.02052332,121.0441224,375.2358869
January,86,14841.35,1437.779167,17,13,0,3865.15,39.02987341,110.7777796,251.455394
February,86,14841.35,1437.779167,17,18,13,3865.15,30.47438664,82.88833259,279.344841
March,86,14841.35,1437.779167,17,18,10,3865.15,23.94861058,171.0862578,191.1469158
April,86,14841.35,1437.779167,17,18,10,3865.15,32.05285841,91.84978305,270.3833905
May,86,14841.35,1437.779167,17,18,10,3865.15,22.86545917,60.9873781,291.2457955
June,86,14841.35,1437.779167,17,18,12,3865.15,22.81838316,112.7638199,249.4693537
January,87,66105.4,5653.783333,31,17,10,1549.56,30.11104031,180.1468487,431.1593616
February,87,66105.4,5653.783333,31,18,11,1549.56,29.32779915,449.1873822,192.1188281
March,87,66105.4,5653.783333,31,18,13,1549.56,33.89863232,291.4013793,339.904831
April,87,66105.4,5653.783333,31,18,10,1549.56,28.07920302,169.8398152,441.4663951
May,87,66105.4,5653.783333,31,50,9,1549.56,31.75671187,732.6818427,
June,87,66105.4,5653.783333,31,48,9,1549.56,37.13217623,116.0659862,495.2402241
January,88,15398.95,1548.245833,5,50,10,343.84,36.74315458,81.67810682,298.3325067
February,88,15398.95,1548.245833,5,50,10,343.84,39.06640765,74.65272755,315.3578859
March,88,15398.95,1548.245833,5,50,9,343.84,33.49444239,47.60747045,322.403143
April,88,15398.95,1548.245833,5,50,9,343.84,37.71613993,10000,299.8695003
May,88,15398.95,1548.245833,5,50,10,343.84,30.97302503,123.4168433,286.5937702
June,88,15398.95,1548.245833,5,50,11,343.84,41.23900243,107.9849309,282.0256825
January,89,27070.07,2518.839167,11,36,20,919.76,28.55585041,76.31458795,362.3360102
February,89,27070.07,2518.839167,11,41,15,919.76,34.06157477,314.0875747,154.5630235
March,89,27070.07,2518.839167,11,41,17,919.76,29.8306522,104.1811039,324.4694943
April,89,27070.07,2518.839167,11,41,15,919.76,40.44063791,231.0897388,227.5608594
May,89,27070.07,2518.839167,11,43,17,919.76,24.73337424,58.00991024,380.6406879
June,89,27070.07,2518.839167,11,41,17,919.76,36.39840658,17.68883577,400.9617624
January,90,17992.775,2518.839167,6,41,17,565.22,22.38039887,88.44275347,348.4970382
February,90,17992.775,2518.839167,6,41,17,565.22,37.2194631,137.398429,329.5413627
March,90,17992.775,1769.397917,6,57,23,565.22,23.13682419,95.65646111,341.2833306
April,90,17992.775,1769.397917,6,57,23,565.22,25.15210984,162.6432543,304.2965373
May,90,17992.775,1769.397917,6,59,23,565.22,34.18203111,10000,386.8407909
June,90,17992.775,1769.397917,6,57,0,565.22,31.05399429,23.00301884,393.9367728
January,91,139354.48,1769.397917,18,57,23,519.3,32.7110284,382.2110719,1031.076261
February,91,139354.48,10872.26506,18,57,25,519.3,35.04958451,568.2347294,855.0526039
March,91,139354.48,10872.26506,18,62,0,519.3,33.5673417,277.2957148,1145.991619
April,91,139354.48,10872.26506,18,55,23,519.3,37.06219362,899.2623909,534.0249425
May,91,139354.48,10872.26506,18,19,20,519.3,31.74432925,607.9420858,815.3452475
June,91,139354.48,10872.26506,18,19,23,519.3,40.87876031,737.8098216,695.4775117
January,92,18305.25,10872.26506,4,19,18,363.51,34.8352811,73.87955399,361.864196
February,92,18305.25,10872.26506,4,19,17,363.51,35.61828916,137.9464988,297.7972512
March,92,18305.25,1557.4375,4,15,18,363.51,25.8539005,112.2594331,313.4843169
April,92,18305.25,1557.4375,4,16,20,363.51,38.52380158,201.3192804,244.4244696
May,92,18305.25,1557.4375,4,19,21,363.51,39.85047617,49.56528039,386.1784696
June,92,18305.25,1557.4375,4,19,20,363.51,30.19674704,179.3112311,266.4325189
January,93,27865.26,1557.4375,6,21,20,635.59,27.14233426,213.439601,319.4724557
February,93,27865.26,2606.105,6,24,22,635.59,22.01381947,339.1487277,193.763329
March,93,27865.26,2606.105,6,26,21,635.59,23.95474522,10000,423.9864337
April,93,27865.26,2606.105,6,21,20,635.59,30.82107192,73.26685798,419.6451987
May,93,27865.26,2606.105,6,25,20,635.59,24.0051777,156.3272161,376.5848406
June,93,27865.26,2606.105,6,24,23,635.59,26.89524308,46.78581394,436.1262427
January,94,23404.86,1899.405,7,22,20,35.54,34.05823767,84.46263179,375.4778682
February,94,23404.86,1899.405,7,24,20,35.54,38.23037044,55.56396607,384.3765339
March,94,23404.86,1899.405,7,15,7,35.54,27.58078996,80.32476098,379.615739
April,94,23404.86,1899.405,7,15,0,35.54,31.97512201,91.24510932,358.6953907
May,94,23404.86,1899.405,7,15,8,35.54,35.12706006,137.274521,342.665979
June,94,23404.86,1899.405,7,15,0,35.54,27.52690307,34.38842729,395.5520727
January,95,14205.09,1086.7575,21,14,7,4845.24,32.31373815,47.62770058,302.015654
